Time,Pleth
01:49.0,-78
01:49.0,-88
01:49.1,-99
01:49.1,-105
01:49.1,-109
01:49.1,-108
01:49.2,-105
01:49.2,-99
01:49.2,-91
01:49.2,-84
01:49.3,-77
01:49.3,-73
01:49.3,-70
01:49.3,-68
01:49.3,-68
01:49.3,-67
01:49.4,-64
01:49.4,-67
01:49.4,-70
01:49.4,-73
01:49.5,-88
01:49.5,-136
01:49.5,-199
01:49.5,-242
01:49.5,-262
01:49.5,-264
01:49.6,-252
01:49.6,-232
01:49.6,-205
01:49.6,-177
01:49.7,-154
01:49.7,-133
01:49.7,-113
01:49.7,-96
01:49.7,-81
01:49.7,-69
01:49.7,-62
01:49.8,-62
01:49.8,-70
01:49.8,-80
01:49.8,-88
01:49.9,-92
01:49.9,-95
01:49.9,-93
01:49.9,-88
01:49.9,-80
01:49.9,-76
01:50.0,-70
01:50.0,-64
01:50.0,-60
01:50.0,-57
01:50.1,-54
01:50.1,-52
01:50.1,-51
01:50.1,-51
01:50.1,-51
01:50.1,-51
01:50.2,-57
01:50.2,-92
01:50.2,-164
01:50.2,-225
01:50.3,-258
01:50.3,-266
01:50.3,-259
01:50.3,-239
01:50.3,-214
01:50.3,-189
01:50.4,-163
01:50.4,-144
01:50.4,-125
01:50.4,-110
01:50.5,-97
01:50.5,-84
01:50.5,-75
01:50.5,-71
01:50.5,-73
01:50.5,-80
01:50.6,-88
01:50.6,-94
01:50.6,-98
01:50.7,-99
01:50.7,-93
01:50.7,-85
01:50.7,-78
01:50.7,-72
01:50.7,-67
01:50.7,-65
01:50.8,-62
01:50.8,-62
01:50.8,-61
01:50.8,-60
01:50.9,-58
01:50.9,-57
01:50.9,-58
01:50.9,-56
01:50.9,-58
01:51.0,-65
01:51.0,-109
01:51.0,-184
01:51.0,-241
01:51.0,-270
01:51.0,-275
01:51.1,-265
01:51.1,-242
01:51.1,-214
01:51.1,-185
01:51.1,-162
01:51.2,-143
01:51.2,-126
01:51.2,-113
01:51.2,-102
01:51.2,-93
01:51.3,-90
01:51.3,-88
01:51.3,-91
01:51.3,-97
01:51.4,-102
01:51.4,-106
01:51.4,-113
01:51.4,-114
01:51.4,-112
01:51.5,-108
01:51.5,-103
01:51.5,-98
01:51.5,-94
01:51.5,-92
01:51.5,-89
01:51.6,-87
01:51.6,-84
01:51.6,-81
01:51.6,-81
01:51.7,-80
01:51.7,-81
01:51.7,-79
01:51.7,-80
01:51.7,-80
01:51.7,-88
01:51.8,-132
01:51.8,-194
01:51.8,-235
01:51.8,-252
01:51.9,-253
01:51.9,-243
01:51.9,-229
01:51.9,-213
01:51.9,-196
01:52.0,-181
01:52.0,-166
01:52.0,-151
01:52.0,-138
01:52.0,-126
01:52.0,-113
01:52.1,-100
01:52.1,-92
01:52.1,-92
01:52.1,-96
01:52.2,-99
01:52.2,-102
01:52.2,-103
01:52.2,-101
01:52.2,-98
01:52.2,-92
01:52.3,-87
01:52.3,-83
01:52.3,-78
01:52.3,-73
01:52.3,-68
01:52.4,-64
01:52.4,-62
01:52.4,-62
01:52.4,-62
01:52.5,-62
01:52.5,-63
01:52.5,-67
01:52.5,-71
01:52.5,-77
01:52.5,-103
01:52.6,-151
01:52.6,-196
01:52.6,-226
01:52.6,-240
01:52.6,-242
01:52.7,-236
01:52.7,-222
01:52.7,-206
01:52.7,-189
01:52.8,-174
01:52.8,-162
01:52.8,-151
01:52.8,-139
01:52.8,-126
01:52.8,-114
01:52.9,-106
